epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
56,9326.83,1.47029,1.02819,0.01074,0.75289,0.68587,0.7567,0.43942,1.57924,1.11006,0.01595,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,9494.98,1.45816,1.01093,0.01078,0.75872,0.6865,0.75825,0.43957,1.57674,1.1131,0.0159,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,9663.41,1.46297,1.01503,0.01072,0.76374,0.6861,0.75931,0.44118,1.57726,1.11077,0.01589,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,9832.17,1.44712,0.99652,0.01058,0.76162,0.68709,0.76123,0.44163,1.57909,1.10758,0.01595,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,10001.3,1.43812,0.99563,0.01053,0.75354,0.70159,0.76025,0.4413,1.57809,1.10825,0.01591,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,10170.2,1.43403,0.9808,0.01052,0.75705,0.70391,0.7608,0.44184,1.57952,1.10535,0.01594,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,10338.7,1.43583,0.97914,0.01052,0.74759,0.70548,0.75956,0.44044,1.57704,1.11547,0.01586,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,10507.3,1.42503,0.96379,0.01026,0.75396,0.69843,0.75873,0.44003,1.57714,1.11292,0.01585,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,10675.4,1.41743,0.95738,0.01032,0.76431,0.69237,0.75916,0.44184,1.57694,1.1099,0.01588,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,10843.9,1.4229,0.95588,0.01037,0.76493,0.6911,0.75893,0.44226,1.57923,1.10882,0.01589,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,11012.2,1.41466,0.92397,0.01019,0.77036,0.69191,0.75993,0.44247,1.57752,1.10736,0.01588,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,11180.7,1.40309,0.93068,0.01006,0.76953,0.69006,0.75972,0.44221,1.5795,1.10385,0.01595,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,11348.3,1.39709,0.9124,0.01007,0.77248,0.69083,0.75996,0.44208,1.57879,1.10541,0.01595,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,11515,1.40929,0.91909,0.00998,0.7723,0.69453,0.76068,0.44205,1.5811,1.105,0.01597,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,11683.1,1.39634,0.90491,0.00998,0.77056,0.68994,0.75984,0.44173,1.5816,1.10745,0.01595,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
