epoch,step,train/cardinality_error,train/cardinality_error_0,train/cardinality_error_1,train/cardinality_error_2,train/cardinality_error_enc,train/class_error,train/loss,train/loss_bbox,train/loss_bbox_0,train/loss_bbox_1,train/loss_bbox_2,train/loss_bbox_enc,train/loss_ce,train/loss_ce_0,train/loss_ce_1,train/loss_ce_2,train/loss_ce_enc,train/loss_giou,train/loss_giou_0,train/loss_giou_1,train/loss_giou_2,train/loss_giou_enc,train/lr,train/lr_max,train/lr_min,val/AP/fire,val/AP/smoke,val/F1,val/cardinality_error,val/cardinality_error_0,val/cardinality_error_1,val/cardinality_error_2,val/cardinality_error_enc,val/class_error,val/ema_mAP_50,val/ema_mAP_50_95,val/ema_mAR,val/loss,val/loss_bbox,val/loss_bbox_0,val/loss_bbox_1,val/loss_bbox_2,val/loss_bbox_enc,val/loss_ce,val/loss_ce_0,val/loss_ce_1,val/loss_ce_2,val/loss_ce_enc,val/loss_giou,val/loss_giou_0,val/loss_giou_1,val/loss_giou_2,val/loss_giou_enc,val/mAP_50,val/mAP_50_95,val/mAP_75,val/mAR,val/precision,val/recall
5,2699,,,,,,,,,,,,,,,,,,,,,,,8.226200588978827e-05,8.226200588978827e-05,2.659172196217696e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2749,,,,,,,,,,,,,,,,,,,,,,,8.164305472746491e-05,8.164305472746491e-05,2.639163994899718e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2799,,,,,,,,,,,,,,,,,,,,,,,8.101593266474083e-05,8.101593266474083e-05,2.618892040118226e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2849,,,,,,,,,,,,,,,,,,,,,,,8.038081432459876e-05,8.038081432459876e-05,2.598361334094079e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2899,,,,,,,,,,,,,,,,,,,,,,,7.97378525021486e-05,7.97378525021486e-05,2.577577333795489e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2909,,,,,,,,,,,,,,,,,,,,,,,,,,0.4070640504360199,0.5260005593299866,0.7424813508987427,298.77178955078125,298.7735290527344,298.36468505859375,297.7241516113281,298.7735290527344,42.898582458496094,0.8086123466491699,0.48084110021591187,0.6798282265663147,4.423484802246094,0.029864946380257607,0.029828811064362526,0.029610447585582733,0.02933613210916519,0.03569190949201584,0.44002604484558105,0.4830593168735504,0.4448596239089966,0.44428882002830505,0.4919295608997345,0.1318223774433136,0.13236260414123535,0.13166578114032745,0.13098426163196564,0.14699509739875793,0.7862100005149841,0.46653228998184204,0.4750499725341797,0.6733750104904175,0.7617616057395935,0.7244501709938049
5,2909,3898.678466796875,3897.93359375,3897.049560546875,3881.22412109375,3898.458740234375,0.5242874026298523,7.583837032318115,0.055443212389945984,0.058226000517606735,0.05687596648931503,0.05557168647646904,0.06970537453889847,0.7415491938591003,0.7911999225616455,0.7543163299560547,0.7460200786590576,0.8121207356452942,0.21771050989627838,0.2233005315065384,0.22038254141807556,0.21792897582054138,0.25044044852256775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2949,,,,,,,,,,,,,,,,,,,,,,,7.90872290963307e-05,7.90872290963307e-05,2.5565454961906653e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2999,,,,,,,,,,,,,,,,,,,,,,,7.84291114541702e-05,7.84291114541702e-05,2.5352712782478193e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3049,,,,,,,,,,,,,,,,,,,,,,,7.776366692269221e-05,7.776366692269221e-05,2.513760364308837e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3099,,,,,,,,,,,,,,,,,,,,,,,7.709107012487948e-05,7.709107012487948e-05,2.492018438715604e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3149,,,,,,,,,,,,,,,,,,,,,,,7.641150295967236e-05,7.641150295967236e-05,2.4700509584363317e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3199,,,,,,,,,,,,,,,,,,,,,,,7.57251400500536e-05,7.57251400500536e-05,2.447863835186581e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3249,,,,,,,,,,,,,,,,,,,,,,,7.503216329496354e-05,7.503216329496354e-05,2.425462980681914e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3299,,,,,,,,,,,,,,,,,,,,,,,7.433275459334254e-05,7.433275459334254e-05,2.402854079264216e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
