epoch,step,train/cardinality_error,train/cardinality_error_0,train/cardinality_error_1,train/cardinality_error_2,train/cardinality_error_enc,train/class_error,train/loss,train/loss_bbox,train/loss_bbox_0,train/loss_bbox_1,train/loss_bbox_2,train/loss_bbox_enc,train/loss_ce,train/loss_ce_0,train/loss_ce_1,train/loss_ce_2,train/loss_ce_enc,train/loss_giou,train/loss_giou_0,train/loss_giou_1,train/loss_giou_2,train/loss_giou_enc,train/lr,train/lr_max,train/lr_min,val/AP/smoke,val/F1,val/cardinality_error,val/cardinality_error_0,val/cardinality_error_1,val/cardinality_error_2,val/cardinality_error_enc,val/class_error,val/ema_mAP_50,val/ema_mAP_50_95,val/ema_mAR,val/loss,val/loss_bbox,val/loss_bbox_0,val/loss_bbox_1,val/loss_bbox_2,val/loss_bbox_enc,val/loss_ce,val/loss_ce_0,val/loss_ce_1,val/loss_ce_2,val/loss_ce_enc,val/loss_giou,val/loss_giou_0,val/loss_giou_1,val/loss_giou_2,val/loss_giou_enc,val/mAP_50,val/mAP_50_95,val/mAP_75,val/mAR,val/precision,val/recall
1,3149,,,,,,,,,,,,,,,,,,,,,,,9.125551878241822e-05,9.125551878241822e-05,2.94989331450779e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3199,,,,,,,,,,,,,,,,,,,,,,,9.098443842958659e-05,9.098443842958659e-05,2.941130560429883e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3249,,,,,,,,,,,,,,,,,,,,,,,9.070964733837172e-05,9.070964733837172e-05,2.932247525677667e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3299,,,,,,,,,,,,,,,,,,,,,,,9.043116006068885e-05,9.043116006068885e-05,2.9232453471195186e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3349,,,,,,,,,,,,,,,,,,,,,,,9.014900570036843e-05,9.014900570036843e-05,2.9141244795027887e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3399,,,,,,,,,,,,,,,,,,,,,,,8.986320608528331e-05,8.986320608528331e-05,2.9048858323221793e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3449,,,,,,,,,,,,,,,,,,,,,,,8.957379759522155e-05,8.957379759522155e-05,2.8955305424460676e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3499,,,,,,,,,,,,,,,,,,,,,,,8.9280802058056e-05,8.9280802058056e-05,2.8860592919954797e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3549,,,,,,,,,,,,,,,,,,,,,,,8.89842413016595e-05,8.89842413016595e-05,2.876472763091442e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3599,,,,,,,,,,,,,,,,,,,,,,,8.868415170582011e-05,8.868415170582011e-05,2.866772092602332e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3649,,,,,,,,,,,,,,,,,,,,,,,8.838054782245308e-05,8.838054782245308e-05,2.856957962649176e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3699,,,,,,,,,,,,,,,,,,,,,,,8.807347330730408e-05,8.807347330730408e-05,2.8470315101003507e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3749,,,,,,,,,,,,,,,,,,,,,,,8.776294271228835e-05,8.776294271228835e-05,2.8369936444505583e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3799,,,,,,,,,,,,,,,,,,,,,,,8.744899241719395e-05,8.744899241719395e-05,2.8268448204471497e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3849,,,,,,,,,,,,,,,,,,,,,,,8.713165152585134e-05,8.713165152585134e-05,2.816586629705853e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3899,,,,,,,,,,,,,,,,,,,,,,,8.681094914209098e-05,8.681094914209098e-05,2.8062195269740187e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3949,,,,,,,,,,,,,,,,,,,,,,,8.64869070937857e-05,8.64869070937857e-05,2.7957446491200244e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3999,,,,,,,,,,,,,,,,,,,,,,,8.615956176072359e-05,8.615956176072359e-05,2.7851631330122473e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4049,,,,,,,,,,,,,,,,,,,,,,,8.58289422467351e-05,8.58289422467351e-05,2.7744756607717136e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
